gateway_id,mac_addr,reader_ip,location_id,reader_status,up_status,down_status,assigned,serial,created_at,updated_at,deleted_at
36,AC233FC09C28,NULL,15,NULL,"2021-04-16 02:16:40","0000-00-00 00:00:00",1,L1-CA-36,"2021-04-15 09:31:58","2021-04-16 02:16:40",NULL
37,AC233FC09C29,NULL,15,NULL,"2021-04-16 02:17:29","0000-00-00 00:00:00",1,L1-CA-37,"2021-04-15 09:31:58","2021-04-16 02:17:29",NULL
38,AC233FC09C2A,NULL,13,NULL,"2021-04-16 02:17:57","0000-00-00 00:00:00",1,L1-PT-01,"2021-04-15 09:31:58","2021-04-16 02:17:57",NULL
39,AC233FC09C2B,NULL,14,NULL,"2021-04-16 02:18:06","0000-00-00 00:00:00",1,L1-PT-02,"2021-04-15 09:31:58","2021-04-16 02:18:06",NULL
40,AC233FC09C2C,NULL,1,NULL,"2021-04-16 02:18:22","0000-00-00 00:00:00",1,L1-CR-01,"2021-04-15 09:31:58","2021-04-16 02:18:22",NULL
41,AC233FC09C2D,NULL,1,NULL,"2021-04-16 02:18:39","0000-00-00 00:00:00",1,L1-CR-02,"2021-04-15 09:31:58","2021-04-16 02:18:39",NULL
42,AC233FC09C2E,NULL,1,NULL,"2021-04-16 02:18:55","0000-00-00 00:00:00",1,L1-CR-03,"2021-04-15 09:31:58","2021-04-16 02:18:55",NULL
43,AC233FC09C2F,NULL,1,NULL,"2021-04-16 02:19:08","0000-00-00 00:00:00",1,L1-CR-04,"2021-04-15 09:31:58","2021-04-16 02:19:08",NULL
44,AC233FC09C30,NULL,17,NULL,"2021-04-16 02:49:18","0000-00-00 00:00:00",1,L2-RT-01,"2021-04-15 09:31:58","2021-04-16 02:49:18",NULL
45,AC233FC09C31,NULL,17,NULL,"2021-04-16 02:49:34","0000-00-00 00:00:00",1,L2-RT-02,"2021-04-15 09:31:58","2021-04-16 02:49:34",NULL
46,AC233FC09C32,NULL,18,NULL,"2021-04-16 02:50:13","0000-00-00 00:00:00",1,L2-RM-11,"2021-04-15 09:31:58","2021-04-16 02:50:13",NULL
47,AC233FC09C33,NULL,18,NULL,"2021-04-16 02:50:36","0000-00-00 00:00:00",1,L2-RM-12,"2021-04-15 09:31:58","2021-04-16 02:50:36",NULL
48,AC233FC09C34,NULL,18,NULL,"2021-04-16 02:51:07","0000-00-00 00:00:00",1,L2-RM-13,"2021-04-15 09:31:58","2021-04-16 02:51:07",NULL
49,AC233FC09C35,NULL,18,NULL,"2021-04-16 02:51:27","0000-00-00 00:00:00",1,L2-RM-14,"2021-04-15 09:31:58","2021-04-16 02:51:27",NULL
50,AC233FC09C36,NULL,19,NULL,"2021-04-16 02:56:26","0000-00-00 00:00:00",1,L2-RT-03,"2021-04-15 09:31:58","2021-04-16 02:56:26",NULL
51,AC233FC09C37,NULL,19,NULL,"2021-04-16 02:56:39","0000-00-00 00:00:00",1,L2-RT-04,"2021-04-15 09:31:58","2021-04-16 02:56:39",NULL
52,AC233FC09C38,NULL,20,NULL,"2021-04-16 02:57:54","0000-00-00 00:00:00",1,L2-RM-21,"2021-04-15 09:31:58","2021-04-16 02:57:54",NULL
53,AC233FC09C39,NULL,20,NULL,"2021-04-16 02:58:38","0000-00-00 00:00:00",1,L2-RM-22,"2021-04-15 09:31:58","2021-04-16 02:58:38",NULL
54,AC233FC09C3A,NULL,20,NULL,"2021-04-16 02:59:00","0000-00-00 00:00:00",1,L2-RM-23,"2021-04-15 09:31:58","2021-04-16 02:59:00",NULL
55,AC233FC09C3B,NULL,20,NULL,"2021-04-16 02:59:11","0000-00-00 00:00:00",1,L2-RM-24,"2021-04-15 09:31:58","2021-04-16 02:59:11",NULL
56,AC233FC09C3C,NULL,21,NULL,"2021-04-16 02:59:34","0000-00-00 00:00:00",1,L2-RT-05,"2021-04-15 09:31:58","2021-04-16 02:59:34",NULL
57,AC233FC09C3D,NULL,21,NULL,"2021-04-16 02:59:46","0000-00-00 00:00:00",1,L2-RT-06,"2021-04-15 09:31:58","2021-04-16 02:59:46",NULL
58,AC233FC09C3E,NULL,22,NULL,"2021-04-16 03:00:28","0000-00-00 00:00:00",1,L2-RM-31,"2021-04-15 09:31:58","2021-04-16 03:00:28",NULL
59,AC233FC09C3F,NULL,22,NULL,"2021-04-16 03:01:05","0000-00-00 00:00:00",1,L2-RM-32,"2021-04-15 09:31:58","2021-04-16 03:01:05",NULL
60,AC233FC09C40,NULL,22,NULL,"2021-04-16 03:01:27","0000-00-00 00:00:00",1,L2-RM-33,"2021-04-15 09:31:58","2021-04-16 03:01:27",NULL
61,AC233FC09C41,NULL,22,NULL,"2021-04-16 03:01:41","0000-00-00 00:00:00",1,L2-RM-34,"2021-04-15 09:31:58","2021-04-16 03:01:41",NULL
62,AC233FC09C42,NULL,23,NULL,"2021-04-16 03:02:19","0000-00-00 00:00:00",1,L2-RT-07,"2021-04-15 09:31:58","2021-04-16 03:02:19",NULL
63,AC233FC09C43,NULL,23,NULL,"2021-04-16 03:02:30","0000-00-00 00:00:00",1,L2-RT-08,"2021-04-15 09:31:58","2021-04-16 03:02:30",NULL
64,AC233FC09C44,NULL,24,NULL,"2021-04-16 03:03:04","0000-00-00 00:00:00",1,L2-RM-41,"2021-04-15 09:31:58","2021-04-16 03:03:04",NULL
65,AC233FC09C45,NULL,24,NULL,"2021-04-16 03:03:19","0000-00-00 00:00:00",1,L2-RM-42,"2021-04-15 09:31:58","2021-04-16 03:03:19",NULL
66,AC233FC09C46,NULL,24,NULL,"2021-04-16 03:03:54","0000-00-00 00:00:00",1,L2-RM-43,"2021-04-15 09:31:58","2021-04-16 03:03:54",NULL
67,AC233FC09C47,NULL,24,NULL,"2021-04-16 03:04:06","0000-00-00 00:00:00",1,L2-RM-44,"2021-04-15 09:31:58","2021-04-16 03:04:06",NULL
68,AC233FC09C48,NULL,25,NULL,"2021-04-16 03:04:29","0000-00-00 00:00:00",1,L2-RT-09,"2021-04-15 09:31:58","2021-04-16 03:04:29",NULL
