log_id,log_time,gateway_id,beacon_id,rssi,battery_level,x_value,y_value,z_value,rawData
1692,"2021-04-01 14:16:01",2,5,-67,100,0.0585938,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000FFFFB010237C3A83F23AC
1693,"2021-04-01 14:16:11",4,5,-62,100,0.046875,-0.0273438,1,0201060303E1FF1216E1FFA10364000CFFF9010037C3A83F23AC
1694,"2021-04-01 14:16:33",2,5,-67,100,0.046875,-0.0273438,1.00781,0201060303E1FF1216E1FFA10364000CFFF9010237C3A83F23AC
1695,"2021-04-01 14:16:45",4,5,-63,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1696,"2021-04-01 14:16:57",2,5,-67,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1697,"2021-04-01 14:17:15",4,5,-62,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1698,"2021-04-01 14:17:27",1,5,-73,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1699,"2021-04-01 14:17:35",2,5,-63,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1700,"2021-04-01 14:17:47",1,4,-78,100,0.0585938,0.0078125,0.949219,0201060303E1FF1216E1FFA10364000F000200F330C3A83F23AC
1701,"2021-04-01 14:17:53",2,4,-55,100,0.0585938,0.0078125,0.9375,0201060303E1FF1216E1FFA10364000F000200F030C3A83F23AC
1702,"2021-04-01 14:18:01",4,5,-63,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1703,"2021-04-01 14:18:03",4,1,-68,100,0.0390625,-0.0078125,0.96875,0201060303E1FF1216E1FFA10364000AFFFE00F83BC3A83F23AC
1704,"2021-04-01 14:18:13",1,1,-54,100,0.046875,0,0.96875,0201060303E1FF1216E1FFA10364000C000000F83BC3A83F23AC
1705,"2021-04-01 14:18:13",2,5,-63,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1706,"2021-04-01 14:18:19",4,5,-62,100,0.046875,-0.0195312,0.988281,0201060303E1FF1216E1FFA10364000CFFFB00FD37C3A83F23AC
1707,"2021-04-01 14:18:31",2,5,-63,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1708,"2021-04-01 14:18:55",1,5,-72,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1709,"2021-04-01 14:18:57",2,5,-63,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
1710,"2021-04-01 14:19:04",4,5,-62,100,0.046875,-0.0195312,1,0201060303E1FF1216E1FFA10364000CFFFB010037C3A83F23AC
1711,"2021-04-01 14:19:18",2,5,-64,100,0.0585938,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000FFFFB010237C3A83F23AC
1712,"2021-04-01 14:19:18",4,5,-62,100,0.0585938,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000FFFFB010237C3A83F23AC
1713,"2021-04-01 14:19:30",2,5,-63,100,0.0585938,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000FFFFB010237C3A83F23AC
1714,"2021-04-01 14:19:38",4,5,-63,100,0.046875,-0.0273438,1.00781,0201060303E1FF1216E1FFA10364000CFFF9010237C3A83F23AC
1715,"2021-04-01 14:20:02",2,5,-63,100,0.046875,-0.0195312,1.00781,0201060303E1FF1216E1FFA10364000CFFFB010237C3A83F23AC
